Time,Open,High,Low,Last,Change,%Chg,Volume
1978-02-14,518.0,518.0,518.0,518.0,0.0,0.0,0
1978-02-15,379.0,379.0,379.0,379.0,0.0,0.0,0
1978-02-16,479.0,479.0,479.0,479.0,0.0,0.0,0
1978-02-17,291.0,291.0,291.0,291.0,0.0,0.0,0
1978-02-21,404.0,404.0,404.0,404.0,0.0,0.0,0
1978-02-22,326.0,326.0,326.0,326.0,0.0,0.0,0
1978-02-23,270.0,270.0,270.0,270.0,0.0,0.0,0
1978-02-24,160.0,160.0,160.0,160.0,0.0,0.0,0
1978-02-27,415.0,415.0,415.0,415.0,0.0,0.0,0
1978-02-28,570.0,570.0,570.0,570.0,0.0,0.0,0
1978-03-01,390.0,390.0,390.0,390.0,0.0,0.0,0
1978-03-02,228.0,228.0,228.0,228.0,0.0,0.0,0
1978-03-03,251.0,251.0,251.0,251.0,0.0,0.0,0
1978-03-06,387.0,387.0,387.0,387.0,0.0,0.0,0
1978-03-07,250.0,250.0,250.0,250.0,0.0,0.0,0
1978-03-08,248.0,248.0,248.0,248.0,0.0,0.0,0
1978-03-09,271.0,271.0,271.0,271.0,0.0,0.0,0
1978-03-10,221.0,221.0,221.0,221.0,0.0,0.0,0
1978-03-13,305.0,305.0,305.0,305.0,0.0,0.0,0
1978-03-14,373.0,373.0,373.0,373.0,0.0,0.0,0
1978-03-15,291.0,291.0,291.0,291.0,0.0,0.0,0
1978-03-16,212.0,212.0,212.0,212.0,0.0,0.0,0
1978-03-17,207.0,207.0,207.0,207.0,0.0,0.0,0
1978-03-20,294.0,294.0,294.0,294.0,0.0,0.0,0
1978-03-21,448.0,448.0,448.0,448.0,0.0,0.0,0
1978-03-22,325.0,325.0,325.0,325.0,0.0,0.0,0
1978-03-23,271.0,271.0,271.0,271.0,0.0,0.0,0
1978-03-27,313.0,313.0,313.0,313.0,0.0,0.0,0
1978-03-28,278.0,278.0,278.0,278.0,0.0,0.0,0
1978-03-29,246.0,246.0,246.0,246.0,0.0,0.0,0
1978-03-30,241.0,241.0,241.0,241.0,0.0,0.0,0
1978-03-31,290.0,290.0,290.0,290.0,0.0,0.0,0
1978-04-03,477.0,477.0,477.0,477.0,0.0,0.0,0
1978-04-04,317.0,317.0,317.0,317.0,0.0,0.0,0
1978-04-05,208.0,208.0,208.0,208.0,0.0,0.0,0
1978-04-06,243.0,243.0,243.0,243.0,0.0,0.0,0
1978-04-07,211.0,211.0,211.0,211.0,0.0,0.0,0
1978-04-10,308.0,308.0,308.0,308.0,0.0,0.0,0
1978-04-11,413.0,413.0,413.0,413.0,0.0,0.0,0
1978-04-12,311.0,311.0,311.0,311.0,0.0,0.0,0
1978-04-13,235.0,235.0,235.0,235.0,0.0,0.0,0
1978-04-14,230.0,230.0,230.0,230.0,0.0,0.0,0
1978-04-17,391.0,391.0,391.0,391.0,0.0,0.0,0
1978-04-18,569.0,569.0,569.0,569.0,0.0,0.0,0
1978-04-19,424.0,424.0,424.0,424.0,0.0,0.0,0
1978-04-20,260.0,260.0,260.0,260.0,0.0,0.0,0
1978-04-21,333.0,333.0,333.0,333.0,0.0,0.0,0
1978-04-24,321.0,321.0,321.0,321.0,0.0,0.0,0
1978-04-25,336.0,336.0,336.0,336.0,0.0,0.0,0
1978-04-26,386.0,386.0,386.0,386.0,0.0,0.0,0
1978-04-27,457.0,457.0,457.0,457.0,0.0,0.0,0
1978-04-28,299.0,299.0,299.0,299.0,0.0,0.0,0
1978-05-01,326.0,326.0,326.0,326.0,0.0,0.0,0
1978-05-02,450.0,450.0,450.0,450.0,0.0,0.0,0
1978-05-03,410.0,410.0,410.0,410.0,0.0,0.0,0
1978-05-04,409.0,409.0,409.0,409.0,0.0,0.0,0
1978-05-05,254.0,254.0,254.0,254.0,0.0,0.0,0
1978-05-08,453.0,453.0,453.0,453.0,0.0,0.0,0
1978-05-09,501.0,501.0,501.0,501.0,0.0,0.0,0
1978-05-10,365.0,365.0,365.0,365.0,0.0,0.0,0
1978-05-11,295.0,295.0,295.0,295.0,0.0,0.0,0
1978-05-12,247.0,247.0,247.0,247.0,0.0,0.0,0
1978-05-15,371.0,371.0,371.0,371.0,0.0,0.0,0
1978-05-16,309.0,309.0,309.0,309.0,0.0,0.0,0
1978-05-17,336.0,336.0,336.0,336.0,0.0,0.0,0
1978-05-18,483.0,483.0,483.0,483.0,0.0,0.0,0
1978-05-19,442.0,442.0,442.0,442.0,0.0,0.0,0
1978-05-22,377.0,377.0,377.0,377.0,0.0,0.0,0
1978-05-23,617.0,617.0,617.0,617.0,0.0,0.0,0
1978-05-24,731.0,731.0,731.0,731.0,0.0,0.0,0
1978-05-25,381.0,381.0,381.0,381.0,0.0,0.0,0
1978-05-26,360.0,360.0,360.0,360.0,0.0,0.0,0
1978-05-30,380.0,380.0,380.0,380.0,0.0,0.0,0
1978-05-31,311.0,311.0,311.0,311.0,0.0,0.0,0
1978-06-01,385.0,385.0,385.0,385.0,0.0,0.0,0
1978-06-02,258.0,258.0,258.0,258.0,0.0,0.0,0
1978-06-05,251.0,251.0,251.0,251.0,0.0,0.0,0
1978-06-06,336.0,336.0,336.0,336.0,0.0,0.0,0
1978-06-07,405.0,405.0,405.0,405.0,0.0,0.0,0
1978-06-08,289.0,289.0,289.0,289.0,0.0,0.0,0
1978-06-09,363.0,363.0,363.0,363.0,0.0,0.0,0
1978-06-12,450.0,450.0,450.0,450.0,0.0,0.0,0
1978-06-13,479.0,479.0,479.0,479.0,0.0,0.0,0
1978-06-14,345.0,345.0,345.0,345.0,0.0,0.0,0
1978-06-15,518.0,518.0,518.0,518.0,0.0,0.0,0
1978-06-16,558.0,558.0,558.0,558.0,0.0,0.0,0
1978-06-19,591.0,591.0,591.0,591.0,0.0,0.0,0
1978-06-20,668.0,668.0,668.0,668.0,0.0,0.0,0
1978-06-21,855.0,855.0,855.0,855.0,0.0,0.0,0
1978-06-22,129.0,129.0,129.0,129.0,0.0,0.0,0
1978-06-23,443.0,443.0,443.0,443.0,0.0,0.0,0
1978-06-26,721.0,721.0,721.0,721.0,0.0,0.0,0
1978-06-27,635.0,635.0,635.0,635.0,0.0,0.0,0
1978-06-28,352.0,352.0,352.0,352.0,0.0,0.0,0
1978-06-29,316.0,316.0,316.0,316.0,0.0,0.0,0
1978-06-30,282.0,282.0,282.0,282.0,0.0,0.0,0
1978-07-03,250.0,250.0,250.0,250.0,0.0,0.0,0
1978-07-05,685.0,685.0,685.0,685.0,0.0,0.0,0
1978-07-06,575.0,575.0,575.0,575.0,0.0,0.0,0
1978-07-07,275.0,275.0,275.0,275.0,0.0,0.0,0
1978-07-10,278.0,278.0,278.0,278.0,0.0,0.0,0
1978-07-11,318.0,318.0,318.0,318.0,0.0,0.0,0
1978-07-12,288.0,288.0,288.0,288.0,0.0,0.0,0
1978-07-13,332.0,332.0,332.0,332.0,0.0,0.0,0
1978-07-14,231.0,231.0,231.0,231.0,0.0,0.0,0
1978-07-17,278.0,278.0,278.0,278.0,0.0,0.0,0
1978-07-18,485.0,485.0,485.0,485.0,0.0,0.0,0
1978-07-19,300.0,300.0,300.0,300.0,0.0,0.0,0
1978-07-20,265.0,265.0,265.0,265.0,0.0,0.0,0
1978-07-21,389.0,389.0,389.0,389.0,0.0,0.0,0
1978-07-24,437.0,437.0,437.0,437.0,0.0,0.0,0
1978-07-25,349.0,349.0,349.0,349.0,0.0,0.0,0
1978-07-26,270.0,270.0,270.0,270.0,0.0,0.0,0
1978-07-27,264.0,264.0,264.0,264.0,0.0,0.0,0
1978-07-28,299.0,299.0,299.0,299.0,0.0,0.0,0
1978-07-31,275.0,275.0,275.0,275.0,0.0,0.0,0
1978-08-01,364.0,364.0,364.0,364.0,0.0,0.0,0
1978-08-02,260.0,260.0,260.0,260.0,0.0,0.0,0
1978-08-03,368.0,368.0,368.0,368.0,0.0,0.0,0
1978-08-04,324.0,324.0,324.0,324.0,0.0,0.0,0
1978-08-07,254.0,254.0,254.0,254.0,0.0,0.0,0
1978-08-08,375.0,375.0,375.0,375.0,0.0,0.0,0
1978-08-09,248.0,248.0,248.0,248.0,0.0,0.0,0
1978-08-10,415.0,415.0,415.0,415.0,0.0,0.0,0
1978-08-11,331.0,331.0,331.0,331.0,0.0,0.0,0
1978-08-14,341.0,341.0,341.0,341.0,0.0,0.0,0
1978-08-15,490.0,490.0,490.0,490.0,0.0,0.0,0
1978-08-16,279.0,279.0,279.0,279.0,0.0,0.0,0
1978-08-17,270.0,270.0,270.0,270.0,0.0,0.0,0
1978-08-18,371.0,371.0,371.0,371.0,0.0,0.0,0
1978-08-21,595.0,595.0,595.0,595.0,0.0,0.0,0
1978-08-22,440.0,440.0,440.0,440.0,0.0,0.0,0
1978-08-23,278.0,278.0,278.0,278.0,0.0,0.0,0
1978-08-24,333.0,333.0,333.0,333.0,0.0,0.0,0
1978-08-25,358.0,358.0,358.0,358.0,0.0,0.0,0
1978-08-28,542.0,542.0,542.0,542.0,0.0,0.0,0
1978-08-29,620.0,620.0,620.0,620.0,0.0,0.0,0
1978-08-30,430.0,430.0,430.0,430.0,0.0,0.0,0
1978-08-31,447.0,447.0,447.0,447.0,0.0,0.0,0
1978-09-01,313.0,313.0,313.0,313.0,0.0,0.0,0
1978-09-05,450.0,450.0,450.0,450.0,0.0,0.0,0
1978-09-06,317.0,317.0,317.0,317.0,0.0,0.0,0
1978-09-07,374.0,374.0,374.0,374.0,0.0,0.0,0
1978-09-08,284.0,284.0,284.0,284.0,0.0,0.0,0
1978-09-11,338.0,338.0,338.0,338.0,0.0,0.0,0
1978-09-12,468.0,468.0,468.0,468.0,0.0,0.0,0
1978-09-13,462.0,462.0,462.0,462.0,0.0,0.0,0
1978-09-14,682.0,682.0,682.0,682.0,0.0,0.0,0
1978-09-15,720.0,720.0,720.0,720.0,0.0,0.0,0
1978-09-18,899.0,899.0,899.0,899.0,0.0,0.0,0
1978-09-19,943.0,943.0,943.0,943.0,0.0,0.0,0
1978-09-20,905.0,905.0,905.0,905.0,0.0,0.0,0
1978-09-21,745.0,745.0,745.0,745.0,0.0,0.0,0
1978-09-22,410.0,410.0,410.0,410.0,0.0,0.0,0
1978-09-25,468.0,468.0,468.0,468.0,0.0,0.0,0
1978-09-26,302.0,302.0,302.0,302.0,0.0,0.0,0
1978-09-27,535.0,535.0,535.0,535.0,0.0,0.0,0
1978-09-28,467.0,467.0,467.0,467.0,0.0,0.0,0
1978-09-29,269.0,269.0,269.0,269.0,0.0,0.0,0
1978-10-02,291.0,291.0,291.0,291.0,0.0,0.0,0
1978-10-03,469.0,469.0,469.0,469.0,0.0,0.0,0
1978-10-04,495.0,495.0,495.0,495.0,0.0,0.0,0
1978-10-05,304.0,304.0,304.0,304.0,0.0,0.0,0
1978-10-06,318.0,318.0,318.0,318.0,0.0,0.0,0
1978-10-09,281.0,281.0,281.0,281.0,0.0,0.0,0
1978-10-10,367.0,367.0,367.0,367.0,0.0,0.0,0
1978-10-11,300.0,300.0,300.0,300.0,0.0,0.0,0
1978-10-12,390.0,390.0,390.0,390.0,0.0,0.0,0
1978-10-13,439.0,439.0,439.0,439.0,0.0,0.0,0
1978-10-16,872.0,872.0,872.0,872.0,0.0,0.0,0
1978-10-17,1316.0,1316.0,1316.0,1316.0,0.0,0.0,0
1978-10-18,1085.0,1085.0,1085.0,1085.0,0.0,0.0,0
1978-10-19,951.0,951.0,951.0,951.0,0.0,0.0,0
1978-10-20,1392.0,1392.0,1392.0,1392.0,0.0,0.0,0
1978-10-23,1194.0,1194.0,1194.0,1194.0,0.0,0.0,0
1978-10-24,696.0,696.0,696.0,696.0,0.0,0.0,0
1978-10-25,642.0,642.0,642.0,642.0,0.0,0.0,0
1978-10-26,1205.0,1205.0,1205.0,1205.0,0.0,0.0,0
1978-10-27,1240.0,1240.0,1240.0,1240.0,0.0,0.0,0
1978-10-30,1544.0,1544.0,1544.0,1544.0,0.0,0.0,0
1978-10-31,947.0,947.0,947.0,947.0,0.0,0.0,0
1978-11-01,287.0,287.0,287.0,287.0,0.0,0.0,0
1978-11-02,505.0,505.0,505.0,505.0,0.0,0.0,0
1978-11-03,281.0,281.0,281.0,281.0,0.0,0.0,0
1978-11-06,472.0,472.0,472.0,472.0,0.0,0.0,0
1978-11-07,1125.0,1125.0,1125.0,1125.0,0.0,0.0,0
1978-11-08,554.0,554.0,554.0,554.0,0.0,0.0,0
1978-11-09,276.0,276.0,276.0,276.0,0.0,0.0,0
1978-11-10,226.0,226.0,226.0,226.0,0.0,0.0,0
1978-11-13,864.0,864.0,864.0,864.0,0.0,0.0,0
1978-11-14,1173.0,1173.0,1173.0,1173.0,0.0,0.0,0
1978-11-15,387.0,387.0,387.0,387.0,0.0,0.0,0
1978-11-16,334.0,334.0,334.0,334.0,0.0,0.0,0
1978-11-17,185.0,185.0,185.0,185.0,0.0,0.0,0
1978-11-20,264.0,264.0,264.0,264.0,0.0,0.0,0
1978-11-21,400.0,400.0,400.0,400.0,0.0,0.0,0
1978-11-22,259.0,259.0,259.0,259.0,0.0,0.0,0
1978-11-24,152.0,152.0,152.0,152.0,0.0,0.0,0
1978-11-27,419.0,419.0,419.0,419.0,0.0,0.0,0
1978-11-28,554.0,554.0,554.0,554.0,0.0,0.0,0
1978-11-29,782.0,782.0,782.0,782.0,0.0,0.0,0
1978-11-30,318.0,318.0,318.0,318.0,0.0,0.0,0
1978-12-01,137.0,137.0,137.0,137.0,0.0,0.0,0
1978-12-04,320.0,320.0,320.0,320.0,0.0,0.0,0
1978-12-05,242.0,242.0,242.0,242.0,0.0,0.0,0
1978-12-06,274.0,274.0,274.0,274.0,0.0,0.0,0
1978-12-07,405.0,405.0,405.0,405.0,0.0,0.0,0
1978-12-08,386.0,386.0,386.0,386.0,0.0,0.0,0
1978-12-11,326.0,326.0,326.0,326.0,0.0,0.0,0
1978-12-12,562.0,562.0,562.0,562.0,0.0,0.0,0
1978-12-13,515.0,515.0,515.0,515.0,0.0,0.0,0
1978-12-14,422.0,422.0,422.0,422.0,0.0,0.0,0
1978-12-15,564.0,564.0,564.0,564.0,0.0,0.0,0
1978-12-18,1337.0,1337.0,1337.0,1337.0,0.0,0.0,0
1978-12-19,348.0,348.0,348.0,348.0,0.0,0.0,0
1978-12-20,326.0,326.0,326.0,326.0,0.0,0.0,0
1978-12-21,330.0,330.0,330.0,330.0,0.0,0.0,0
1978-12-22,180.0,180.0,180.0,180.0,0.0,0.0,0
1978-12-26,270.0,270.0,270.0,270.0,0.0,0.0,0
1978-12-27,499.0,499.0,499.0,499.0,0.0,0.0,0
1978-12-28,463.0,463.0,463.0,463.0,0.0,0.0,0
1978-12-29,256.0,256.0,256.0,256.0,0.0,0.0,0
1979-01-02,426.0,426.0,426.0,426.0,0.0,0.0,0
1979-01-03,166.0,166.0,166.0,166.0,0.0,0.0,0
1979-01-04,163.0,163.0,163.0,163.0,0.0,0.0,0
1979-01-05,175.0,175.0,175.0,175.0,0.0,0.0,0
1979-01-08,446.0,446.0,446.0,446.0,0.0,0.0,0
1979-01-09,258.0,258.0,258.0,258.0,0.0,0.0,0
1979-01-10,469.0,469.0,469.0,469.0,0.0,0.0,0
1979-01-11,351.0,351.0,351.0,351.0,0.0,0.0,0
1979-01-12,202.0,202.0,202.0,202.0,0.0,0.0,0
1979-01-15,304.0,304.0,304.0,304.0,0.0,0.0,0
1979-01-16,570.0,570.0,570.0,570.0,0.0,0.0,0
1979-01-17,507.0,507.0,507.0,507.0,0.0,0.0,0
1979-01-18,225.0,225.0,225.0,225.0,0.0,0.0,0
1979-01-19,258.0,258.0,258.0,258.0,0.0,0.0,0
1979-01-22,364.0,364.0,364.0,364.0,0.0,0.0,0
1979-01-23,240.0,240.0,240.0,240.0,0.0,0.0,0
1979-01-24,457.0,457.0,457.0,457.0,0.0,0.0,0
1979-01-25,249.0,249.0,249.0,249.0,0.0,0.0,0
1979-01-26,241.0,241.0,241.0,241.0,0.0,0.0,0
1979-01-29,456.0,456.0,456.0,456.0,0.0,0.0,0
1979-01-30,449.0,449.0,449.0,449.0,0.0,0.0,0
1979-01-31,622.0,622.0,622.0,622.0,0.0,0.0,0
1979-02-01,469.0,469.0,469.0,469.0,0.0,0.0,0
1979-02-02,339.0,339.0,339.0,339.0,0.0,0.0,0
1979-02-05,820.0,820.0,820.0,820.0,0.0,0.0,0
1979-02-06,509.0,509.0,509.0,509.0,0.0,0.0,0
1979-02-07,847.0,847.0,847.0,847.0,0.0,0.0,0
1979-02-08,275.0,275.0,275.0,275.0,0.0,0.0,0
1979-02-09,285.0,285.0,285.0,285.0,0.0,0.0,0
1979-02-12,355.0,355.0,355.0,355.0,0.0,0.0,0
1979-02-13,234.0,234.0,234.0,234.0,0.0,0.0,0
1979-02-14,438.0,438.0,438.0,438.0,0.0,0.0,0
1979-02-15,321.0,321.0,321.0,321.0,0.0,0.0,0
1979-02-16,220.0,220.0,220.0,220.0,0.0,0.0,0
1979-02-20,319.0,319.0,319.0,319.0,0.0,0.0,0
1979-02-21,407.0,407.0,407.0,407.0,0.0,0.0,0
1979-02-22,447.0,447.0,447.0,447.0,0.0,0.0,0
1979-02-23,497.0,497.0,497.0,497.0,0.0,0.0,0
1979-02-26,445.0,445.0,445.0,445.0,0.0,0.0,0
1979-02-27,1054.0,1054.0,1054.0,1054.0,0.0,0.0,0
1979-02-28,547.0,547.0,547.0,547.0,0.0,0.0,0
1979-03-01,292.0,292.0,292.0,292.0,0.0,0.0,0
1979-03-02,305.0,305.0,305.0,305.0,0.0,0.0,0
1979-03-05,210.0,210.0,210.0,210.0,0.0,0.0,0
1979-03-06,444.0,444.0,444.0,444.0,0.0,0.0,0
1979-03-07,189.0,189.0,189.0,189.0,0.0,0.0,0
1979-03-08,205.0,205.0,205.0,205.0,0.0,0.0,0
1979-03-09,287.0,287.0,287.0,287.0,0.0,0.0,0
1979-03-12,408.0,408.0,408.0,408.0,0.0,0.0,0
1979-03-13,295.0,295.0,295.0,295.0,0.0,0.0,0
1979-03-14,408.0,408.0,408.0,408.0,0.0,0.0,0
1979-03-15,325.0,325.0,325.0,325.0,0.0,0.0,0
1979-03-16,279.0,279.0,279.0,279.0,0.0,0.0,0
1979-03-19,267.0,267.0,267.0,267.0,0.0,0.0,0
1979-03-20,478.0,478.0,478.0,478.0,0.0,0.0,0
1979-03-21,301.0,301.0,301.0,301.0,0.0,0.0,0
1979-03-22,252.0,252.0,252.0,252.0,0.0,0.0,0
1979-03-23,280.0,280.0,280.0,280.0,0.0,0.0,0
1979-03-26,513.0,513.0,513.0,513.0,0.0,0.0,0
1979-03-27,303.0,303.0,303.0,303.0,0.0,0.0,0
1979-03-28,405.0,405.0,405.0,405.0,0.0,0.0,0
1979-03-29,360.0,360.0,360.0,360.0,0.0,0.0,0
1979-03-30,328.0,328.0,328.0,328.0,0.0,0.0,0
1979-04-02,563.0,563.0,563.0,563.0,0.0,0.0,0
1979-04-03,289.0,289.0,289.0,289.0,0.0,0.0,0
1979-04-04,273.0,273.0,273.0,273.0,0.0,0.0,0
1979-04-05,319.0,319.0,319.0,319.0,0.0,0.0,0
1979-04-06,318.0,318.0,318.0,318.0,0.0,0.0,0
1979-04-09,483.0,483.0,483.0,483.0,0.0,0.0,0
1979-04-10,348.0,348.0,348.0,348.0,0.0,0.0,0
1979-04-11,628.0,628.0,628.0,628.0,0.0,0.0,0
1979-04-12,413.0,413.0,413.0,413.0,0.0,0.0,0
1979-04-16,692.0,692.0,692.0,692.0,0.0,0.0,0
1979-04-17,508.0,508.0,508.0,508.0,0.0,0.0,0
1979-04-18,281.0,281.0,281.0,281.0,0.0,0.0,0
1979-04-19,365.0,365.0,365.0,365.0,0.0,0.0,0
1979-04-20,370.0,370.0,370.0,370.0,0.0,0.0,0
1979-04-23,339.0,339.0,339.0,339.0,0.0,0.0,0
1979-04-24,312.0,312.0,312.0,312.0,0.0,0.0,0
1979-04-25,331.0,331.0,331.0,331.0,0.0,0.0,0
1979-04-26,454.0,454.0,454.0,454.0,0.0,0.0,0
1979-04-27,493.0,493.0,493.0,493.0,0.0,0.0,0
1979-04-30,529.0,529.0,529.0,529.0,0.0,0.0,0
1979-05-01,448.0,448.0,448.0,448.0,0.0,0.0,0
1979-05-02,430.0,430.0,430.0,430.0,0.0,0.0,0
1979-05-03,343.0,343.0,343.0,343.0,0.0,0.0,0
1979-05-04,574.0,574.0,574.0,574.0,0.0,0.0,0
1979-05-07,1176.0,1176.0,1176.0,1176.0,0.0,0.0,0
1979-05-08,920.0,920.0,920.0,920.0,0.0,0.0,0
1979-05-09,273.0,273.0,273.0,273.0,0.0,0.0,0
1979-05-10,522.0,522.0,522.0,522.0,0.0,0.0,0
1979-05-11,406.0,406.0,406.0,406.0,0.0,0.0,0
1979-05-14,556.0,556.0,556.0,556.0,0.0,0.0,0
1979-05-15,433.0,433.0,433.0,433.0,0.0,0.0,0
1979-05-16,415.0,415.0,415.0,415.0,0.0,0.0,0
1979-05-17,230.0,230.0,230.0,230.0,0.0,0.0,0
1979-05-18,292.0,292.0,292.0,292.0,0.0,0.0,0
1979-05-21,325.0,325.0,325.0,325.0,0.0,0.0,0
1979-05-22,289.0,289.0,289.0,289.0,0.0,0.0,0
1979-05-23,368.0,368.0,368.0,368.0,0.0,0.0,0
1979-05-24,365.0,365.0,365.0,365.0,0.0,0.0,0
1979-05-25,277.0,277.0,277.0,277.0,0.0,0.0,0
1979-05-29,454.0,454.0,454.0,454.0,0.0,0.0,0
1979-05-30,689.0,689.0,689.0,689.0,0.0,0.0,0
1979-05-31,300.0,300.0,300.0,300.0,0.0,0.0,0
1979-06-01,284.0,284.0,284.0,284.0,0.0,0.0,0
1979-06-04,315.0,315.0,315.0,315.0,0.0,0.0,0
1979-06-05,240.0,240.0,240.0,240.0,0.0,0.0,0
1979-06-06,287.0,287.0,287.0,287.0,0.0,0.0,0
1979-06-07,266.0,266.0,266.0,266.0,0.0,0.0,0
1979-06-08,296.0,296.0,296.0,296.0,0.0,0.0,0
1979-06-11,409.0,409.0,409.0,409.0,0.0,0.0,0
1979-06-12,313.0,313.0,313.0,313.0,0.0,0.0,0
1979-06-13,423.0,423.0,423.0,423.0,0.0,0.0,0
1979-06-14,488.0,488.0,488.0,488.0,0.0,0.0,0
1979-06-15,334.0,334.0,334.0,334.0,0.0,0.0,0
1979-06-18,519.0,519.0,519.0,519.0,0.0,0.0,0
1979-06-19,411.0,411.0,411.0,411.0,0.0,0.0,0
1979-06-20,364.0,364.0,364.0,364.0,0.0,0.0,0
1979-06-21,324.0,324.0,324.0,324.0,0.0,0.0,0
1979-06-22,299.0,299.0,299.0,299.0,0.0,0.0,0
1979-06-25,526.0,526.0,526.0,526.0,0.0,0.0,0
1979-06-26,546.0,546.0,546.0,546.0,0.0,0.0,0
1979-06-27,316.0,316.0,316.0,316.0,0.0,0.0,0
1979-06-28,308.0,308.0,308.0,308.0,0.0,0.0,0
1979-06-29,425.0,425.0,425.0,425.0,0.0,0.0,0
1979-07-02,663.0,663.0,663.0,663.0,0.0,0.0,0
1979-07-03,412.0,412.0,412.0,412.0,0.0,0.0,0
1979-07-05,284.0,284.0,284.0,284.0,0.0,0.0,0
1979-07-06,249.0,249.0,249.0,249.0,0.0,0.0,0
1979-07-09,349.0,349.0,349.0,349.0,0.0,0.0,0
1979-07-10,487.0,487.0,487.0,487.0,0.0,0.0,0
1979-07-11,497.0,497.0,497.0,497.0,0.0,0.0,0
1979-07-12,467.0,467.0,467.0,467.0,0.0,0.0,0
1979-07-13,569.0,569.0,569.0,569.0,0.0,0.0,0
1979-07-16,298.0,298.0,298.0,298.0,0.0,0.0,0
1979-07-17,638.0,638.0,638.0,638.0,0.0,0.0,0
1979-07-18,742.0,742.0,742.0,742.0,0.0,0.0,0
1979-07-19,332.0,332.0,332.0,332.0,0.0,0.0,0
1979-07-20,306.0,306.0,306.0,306.0,0.0,0.0,0
1979-07-23,431.0,431.0,431.0,431.0,0.0,0.0,0
1979-07-24,333.0,333.0,333.0,333.0,0.0,0.0,0
1979-07-25,243.0,243.0,243.0,243.0,0.0,0.0,0
1979-07-26,303.0,303.0,303.0,303.0,0.0,0.0,0
1979-07-27,288.0,288.0,288.0,288.0,0.0,0.0,0
1979-07-30,356.0,356.0,356.0,356.0,0.0,0.0,0
1979-07-31,316.0,316.0,316.0,316.0,0.0,0.0,0
1979-08-01,310.0,310.0,310.0,310.0,0.0,0.0,0
1979-08-02,314.0,314.0,314.0,314.0,0.0,0.0,0
1979-08-03,363.0,363.0,363.0,363.0,0.0,0.0,0
1979-08-06,396.0,396.0,396.0,396.0,0.0,0.0,0
1979-08-07,285.0,285.0,285.0,285.0,0.0,0.0,0
1979-08-08,309.0,309.0,309.0,309.0,0.0,0.0,0
1979-08-09,387.0,387.0,387.0,387.0,0.0,0.0,0
1979-08-10,258.0,258.0,258.0,258.0,0.0,0.0,0
1979-08-13,302.0,302.0,302.0,302.0,0.0,0.0,0
1979-08-14,390.0,390.0,390.0,390.0,0.0,0.0,0
1979-08-15,308.0,308.0,308.0,308.0,0.0,0.0,0
1979-08-16,407.0,407.0,407.0,407.0,0.0,0.0,0
1979-08-17,341.0,341.0,341.0,341.0,0.0,0.0,0
1979-08-20,367.0,367.0,367.0,367.0,0.0,0.0,0
1979-08-21,399.0,399.0,399.0,399.0,0.0,0.0,0
1979-08-22,335.0,335.0,335.0,335.0,0.0,0.0,0
1979-08-23,350.0,350.0,350.0,350.0,0.0,0.0,0
1979-08-24,423.0,423.0,423.0,423.0,0.0,0.0,0
1979-08-27,309.0,309.0,309.0,309.0,0.0,0.0,0
1979-08-28,383.0,383.0,383.0,383.0,0.0,0.0,0
1979-08-29,365.0,365.0,365.0,365.0,0.0,0.0,0
1979-08-30,411.0,411.0,411.0,411.0,0.0,0.0,0
